tranche_horaire,ref,libelle_gare_montee,flux_enquete,flux_normalized
de 08:00:00 à 08:59:59,PR/0087-381475-00,Chanteloup les Vignes,13.24,0.06524708219518251
de 08:00:00 à 08:59:59,PR/0087-381194-BV,Chars,7.39,0.02892972436056617
de 08:00:00 à 08:59:59,PR/0087-381228-BV,Chaumont en Vexin,16.24,0.08387136826421653
de 08:00:00 à 08:59:59,PR/0087-381087-00,Colombes,163.81,1.0
de 08:00:00 à 08:59:59,PR/0087-381459-BV,Conflans Fin d'Oise,7.55,0.02992301961758132
de 08:00:00 à 08:59:59,PR/0087-381897-BV,Conflans Ste Honorine,59.6,0.35305438291532154
de 08:00:00 à 08:59:59,PR/0087-381863-00,Cormeilles en Parisis,102.07,0.6167121926992798
de 08:00:00 à 08:59:59,PR/0087-534131-BV,Ermont Eaubonne,85.6,0.514464862180283
de 08:00:00 à 08:59:59,PR/0087-381566-00,Gargenville,5.29,0.015892724112242358
de 08:00:00 à 08:59:59,PR/0087-381244-00,Gisors,26.02,0.14458654084926742
de 08:00:00 à 08:59:59,PR/0087-381889-00,Herblay,82.87,0.49751676185746213
de 08:00:00 à 08:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,81.66,0.49000496647628505
de 08:00:00 à 08:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 08:00:00 à 08:59:59,PR/0087-381558-00,Juziers,4.23,0.00931214303451701
de 08:00:00 à 08:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20679165631984103
de 08:00:00 à 08:59:59,PR/0087-381202-00,La Villetertre,6.0,0.02030047181524708
de 08:00:00 à 08:59:59,PR/0087-381095-00,Le Stade,66.57,0.39632480754904387
de 08:00:00 à 08:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695430841817729
de 08:00:00 à 08:59:59,PR/0087-386664-00,Les Clairières de Verneuil,119.84,0.7270300471815248
de 08:00:00 à 08:59:59,PR/0087-386680-BV,Les Mureaux,162.81,0.9937919046436552
de 08:00:00 à 08:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.02650856717159175
de 08:00:00 à 08:59:59,PR/0087-381582-BV,Limay,4.56,0.01136081450211075
de 08:00:00 à 08:59:59,PR/0087-381590-00,Mantes Station,7.37,0.02880556245343928
de 08:00:00 à 08:59:59,PR/0087-381509-BV,Mantes la Jolie,20.47,0.11013161162155449
de 08:00:00 à 08:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11522224981375712
de 08:00:00 à 08:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023218276632729073
de 08:00:00 à 08:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426868636702259
de 08:00:00 à 08:59:59,PR/0087-381145-00,Osny,14.55,0.07337968711199404
de 08:00:00 à 08:59:59,PR/0087-384008-00,Paris St Lazare,64.89,0.38589520735038485
de 08:00:00 à 08:59:59,PR/0087-386573-BV,Poissy,148.76,0.9065681648870125
